feature,lr_coef_mean,lr_coef_std,lr_coef_abs_mean,rf_imp_mean,rf_imp_std,feature_type
P3_H,0.07360516145978556,0.0061709111271683,0.07360516145978556,0.00166945425655301,4.313279560992726e-05,sparse_encoding
P3_I,0.00041168462513776924,0.004565133690807535,0.00041168462513776924,0.002309355000367036,4.2050273695174135e-05,sparse_encoding
P3_K,-0.0638119729222826,0.004265874875656111,0.0638119729222826,0.0013854477048929113,5.12216826137801e-05,sparse_encoding
P3_L,0.05257826934379213,0.007524400566422862,0.05257826934379213,0.0035920870209475856,6.639695699041009e-05,sparse_encoding
P3_M,0.029252310823495074,0.0023222991920586415,0.029252310823495074,0.0017812055523495588,1.1279278103579572e-05,sparse_encoding
P3_N,-0.03954155381273539,0.005899065800573852,0.03954155381273539,0.0018290244124224459,4.936035552642011e-05,sparse_encoding
P3_P,-0.05836458506977928,0.0065518188887780555,0.05836458506977928,0.0025274690557311277,8.074931478392413e-05,sparse_encoding
P3_Q,0.05536275223153305,0.007173270200448862,0.05536275223153305,0.0021964545128229686,0.0001088665847342233,sparse_encoding
P3_R,-0.009300051852783438,0.004964786092292694,0.009300051852783438,0.0006192940347495357,1.7907265559022837e-05,sparse_encoding
P3_S,0.03364221346848724,0.002799475629257289,0.03364221346848724,0.0024967593432578044,4.7339689202891686e-05,sparse_encoding
P3_T,0.048284108651498125,0.0030053348809832483,0.048284108651498125,0.001997809812771011,4.696329880644701e-05,sparse_encoding
P3_V,-0.05596496235958829,0.008436239201905435,0.05596496235958829,0.0019349346395917864,3.1878080201355914e-05,sparse_encoding
